Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,DollarsPerOz,Aroma,Flavor,Agtron Ext,Agtron Gnd,Roast_Level_num,Latitude,Longitude
Bird Rock Coffee Roasters,Costa Rica Santa Lucia Cup of Excellence #7,93,California,Costa Rica,Light,2.12,9,9,67,85,0,10.0,-84.0
JBC Coffee Roasters,Finca La Mula Panama Geisha Natural,95,Wisconsin,Panama,Medium-Light,6.24,10,9,52,73,1,9.0,-80.0
JBC Coffee Roasters,La Lagunita El Salvador,94,Wisconsin,El Salvador,Medium-Light,1.56,9,9,59,79,1,13.83,-88.92
Red Rooster Coffee Roaster,Ethiopia Hambela Natural,93,Virginia,Ethiopia,Medium-Light,1.29,9,9,52,71,1,8.0,38.0
Bootstrap Coffee Roasters,Kenya Kiaguthu AA,93,Minnesota,Kenya,Medium-Light,1.67,9,9,57,78,1,1.0,38.0
Barrington Coffee Roasting Co.,Juliette Ninety Plus Gesha Estates,93,Massachusetts,Panama,Light,6.87,9,9,68,94,0,9.0,-80.0
Red Rooster Coffee Roaster,Ethiopia Hambela Washed,92,Virginia,Ethiopia,Medium-Light,1.17,9,9,52,72,1,8.0,38.0
Paradise Roasters,S.O. Espresso Ethiopia Borboya,92,Minnesota,Ethiopia,Medium,1.25,9,9,45,60,2,8.0,38.0
Lexington Coffee Roasters,Kenya Gachatha,92,Virginia,Kenya,Medium-Light,1.66,9,9,58,80,1,1.0,38.0
Temple Coffee and Tea,Kenya Kinuyu AA,95,California,Kenya,Medium-Light,1.75,10,9,57,70,1,1.0,38.0
Temple Coffee and Tea,Costa Rica Alberto Guardia Venecia Honey,94,California,Costa Rica,Light,1.54,9,9,63,85,0,10.0,-84.0
Grounds for Change,Guatemala Huehuetenango,91,Washington,Guatemala,Medium,0.95,8,9,51,61,2,15.5,-90.25
The WestBean Coffee Roasers,Colombia Nariño Fiesta,90,California,Colombia,Medium-Light,1.12,9,8,56,66,1,4.0,-72.0
Wonderstate Coffee,Organic Colombia Fondo Paez,93,Wisconsin,Colombia,Medium-Light,1.31,9,9,57,74,1,4.0,-72.0
Wonderstate Coffee,Organic Ethiopia Worka Special Prep,93,Wisconsin,Ethiopia,Medium-Light,1.48,9,9,60,78,1,8.0,38.0
Dragonfly Coffee Roasters,Nicaragua Cafe Vidita Los Congos Pacamara Natural,95,Colorado,Nicaragua,Light,1.5,9,9,63,91,0,13.0,-85.0
Dragonfly Coffee Roasters,Nicaragua Don Roger Natural,92,Colorado,Nicaragua,Light,1.75,9,9,61,84,0,13.0,-85.0
Dragonfly Coffee Roasters,Nicaragua Washed Maragogype Peaberry,89,Colorado,Nicaragua,Medium-Light,2.0,8,8,52,71,1,13.0,-85.0
Barrington Coffee Roasting Co.,Kenya Kigutha AA,94,Massachusetts,Kenya,Medium-Light,1.5,9,9,60,78,1,1.0,38.0
Barrington Coffee Roasting Co.,Panama Ninety Plus Gesha Estates “Perci”,93,Massachusetts,Panama,Light,6.87,9,9,68,87,0,9.0,-80.0
Barrington Coffee Roasting Co.,Guatemala El Diamante,93,Massachusetts,Guatemala,Light,1.41,9,9,69,91,0,15.5,-90.25
Ghost Town Coffee Roasters,Ethiopia Adado Coop,93,Montana,Ethiopia,Medium,1.4,9,9,54,59,2,8.0,38.0
Thanksgiving Coffee,Light Roast Washed Ethiopia,92,California,Ethiopia,Medium-Light,1.42,9,9,57,80,1,8.0,38.0
Grounds for Change,Ethiopia Yirgacheffe,91,Washington,Ethiopia,Medium,0.98,8,9,51,61,2,8.0,38.0
Thanksgiving Coffee,Light Roast Natural Ethiopia,91,California,Ethiopia,Light,1.38,8,9,61,87,0,8.0,38.0
Greater Goods Coffee Roasters,FTO Ethiopia Gedeb,91,Texas,Gedeb,Light,1.25,8,9,60,82,0,8.0,38.0
Ghost Town Coffee Roasters,Guatemala CODECH Women Producers,90,Montana,Guatemala,Medium-Light,1.18,8,8,51,73,1,15.5,-90.25
Giv COFFEE,Peru Ciriaco Quispe,90,Connecticut,Peru,Light,1.38,8,8,68,89,0,-10.0,-76.0
Paradise Roasters,FTO Guatemala Huehuetenango,90,Minnesota,Guatemala,Medium,1.08,9,8,51,66,2,15.5,-90.25
Magnolia Coffee,Honduras Finca Gaby,88,North Carolina,Honduras,Medium,1.08,7,8,50,64,2,15.0,-86.5
Roast House,423 Blend,88,Washington,Guatemala,Medium,1.0,7,8,48,61,2,15.5,-90.25
Klatch Coffee,Panama Altieri Natural Geisha,96,California,Panama,Medium,6.24,10,9,49,72,2,9.0,-80.0
Coffee Factorial,Ethiopia Adado Sulula,93,California,Ethiopia,Medium-Light,1.88,9,9,59,76,1,8.0,38.0
Cafe Virtuoso,Organic Holiday Blend,92,California,Brazil,Medium,1.33,9,9,55,64,2,-10.0,-55.0
Cafe Virtuoso,Bean Brain Reserve Perla Negra Costa Rica,92,California,Costa Rica,Medium,1.58,9,9,55,66,2,10.0,-84.0
Barrington Coffee Roasting Co.,Kemgin Ninety Plus,94,Massachusetts,Ethiopia,Medium-Light,2.16,9,9,52,72,1,8.0,38.0
Barrington Coffee Roasting Co.,Ethiopia Nigusse Lemma,94,Massachusetts,Ethiopia,Medium-Light,1.41,9,9,58,76,1,8.0,38.0
BeanFruit Coffee Co.,Colombia Maximino Gutierrez,93,Mississippi,Colombia,Medium-Light,1.23,9,9,54,71,1,4.0,-72.0
Big Creek Coffee Roasters,Kenya Nyeri AA,92,Montana,Kenya,Medium-Dark,1.5,9,9,47,54,3,1.0,38.0
Big Creek Coffee Roasters,Ethiopia Duromina Organic,91,Montana,Ethiopia,Medium-Dark,1.38,8,9,46,55,3,8.0,38.0
Big Creek Coffee Roasters,Ethiopia Yirgacheffe Natural Process,91,Montana,Ethiopia,Medium,1.42,9,9,46,58,2,8.0,38.0
Temple Coffee and Tea,Panama Don Pepe Estate Geisha Single-Origin Espresso,96,California,Panama,Medium,1.62,10,10,48,59,2,9.0,-80.0
JBC Coffee Roasters,Ichamama Kenya,94,Wisconsin,Kenya,Medium-Light,1.34,9,9,56,74,1,1.0,38.0
JBC Coffee Roasters,Hambela Ethiopia Natural,93,Wisconsin,Ethiopia,Medium-Light,1.4,9,9,60,80,1,8.0,38.0
JBC Coffee Roasters,El Aguila Pacamara El Salvador,90,Wisconsin,El Salvador,Medium-Light,1.31,8,8,61,80,1,13.83,-88.92
Bird Rock Coffee Roasters,Guatemala Finca La Bolsa,90,California,Guatemala,Medium,1.67,8,8,50,69,2,15.5,-90.25
JBC Coffee Roasters,Las Flores Espresso,95,Wisconsin,Costa Rica,Medium-Light,1.32,9,9,57,78,1,10.0,-84.0
JBC Coffee Roasters,Kochere Espresso,93,Wisconsin,Ethiopia,Medium-Light,1.32,9,9,55,76,1,8.0,38.0
Green Dragon Coffee,Zimbabwe AAA New Year’s Gift,88,Pennsylvania,Zimbabwe,Medium-Light,1.25,8,8,62,79,1,-20.0,30.0
Bird Rock Coffee Roasters,Guatemala El Socorro Maracaturra,92,California,Guatemala,Medium-Light,2.0,9,9,61,80,1,15.5,-90.25
Dragonfly Coffee Roasters,Guatemala Buena Esperanza Lot A,92,Colorado,Guatemala,Medium-Light,1.5,8,9,58,74,1,15.5,-90.25
Equator Coffees & Teas,Guatemala El Injerto Pandora del Carmen Auction-Lot,92,California,Guatemala,Medium-Light,6.24,9,9,56,69,1,15.5,-90.25
Wonderstate Coffee,Organic Guatemala Rio Azul,92,Wisconsin,Guatemala,Medium-Light,1.33,8,9,59,81,1,15.5,-90.25
Victrola Coffee Roasters,Honduras Santa Barbara Finca Las Brisas,92,Washington,Honduras,Medium-Light,1.56,9,9,53,71,1,15.0,-86.5
Crimson Cup Coffee & Tea,Ethiopia Jimma Agaro,95,Ohio,Ethiopia,Light,1.67,9,9,66,87,0,8.0,38.0
Chocolate Fish Coffee Roasters,Ethiopia Yirgacheffe Wote Konga,93,California,Ethiopia,Light,1.5,9,9,62,84,0,8.0,38.0
Big Shoulders Coffee,Burundi Reserve,93,Illinois,Burundi,Medium-Light,2.4,9,9,56,69,1,-3.5,30.0
Lexington Coffee Roasters,Ethiopia Hambela,94,Virginia,Ethiopia,Medium-Light,1.58,9,9,55,78,1,8.0,38.0
Topeca Coffee Roasters,Kenya Nyeri Peaberry,95,Oklahoma,Kenya,Medium-Light,1.2,9,9,55,76,1,1.0,38.0
Red Rooster Coffee Roaster,Ethiopia Sidama Nura Korate Fair-Trade/Organic,90,Virginia,Ethiopia,Medium,1.08,8,9,52,69,2,8.0,38.0
Bird Rock Coffee Roasters,Panama Lino Esmeralda Geisha Natural,96,California,Panama,Light,6.38,9,10,67,88,0,9.0,-80.0
JBC Coffee Roasters,Las Flores Costa Rica,92,Wisconsin,Costa Rica,Medium-Light,1.32,8,9,57,78,1,10.0,-84.0
BeanFruit Coffee Co.,Kenya AA Gakuyuri,94,Mississippi,Kenya,Medium-Light,1.27,9,9,60,75,1,1.0,38.0
Topeca Coffee Roasters,Manzano Natural El Salvador,93,Oklahoma,El Salvador,Medium-Light,1.33,9,9,60,77,1,13.83,-88.92
Giv COFFEE,Kenya Embu Gakui Peaberry,95,Connecticut,Kenya,Medium-Light,1.46,9,9,54,70,1,1.0,38.0
Willoughby's Coffee & Tea,Kenya AA Kigwandi Estate,95,Connecticut,Kenya,Medium-Light,1.12,9,9,59,75,1,1.0,38.0
Coffee Factorial,Kenya Gatundu Karinga AB,93,California,Kenya,Medium-Light,1.88,8,9,55,69,1,1.0,38.0
Wonderstate Coffee,Kenya Mbeguka AA,93,Wisconsin,Kenya,Medium-Light,1.54,9,9,64,77,1,1.0,38.0
Flight Coffee Co.,Kenya Karani AA,92,New Hampshire,Kenya,Medium-Light,1.21,8,9,61,77,1,1.0,38.0
Temple Coffee and Tea,Kenya Kiambu Peaberry,92,California,Kenya,Medium-Light,1.54,9,9,55,75,1,1.0,38.0
Abundancia Kenyan Coffee,Kenya AA Blue Mountain Ruita I AA,92,Oregon,Kenya,Medium-Light,1.5,9,9,53,70,1,1.0,38.0
Rusty's Hawaiian Coffee,Ka’u Natural Typica,93,Hawai,Hawaii,Medium-Light,3.0,9,9,53,70,1,19.8968,-155.5828
Dragonfly Coffee Roasters,Elida Natural Lot 12 Panama,92,Colorado,Panama,Medium-Light,1.5,8,9,57,83,1,9.0,-80.0
Green Dragon Coffee,Sumatra Ulos Batak,91,Pennsylvania,Sumatra,Medium-Light,1.5,8,8,53,70,1,-5.0,120.0
JBC Coffee Roasters,Kochere Ethiopia,92,Wisconsin,Ethiopia,Medium,1.32,9,9,56,64,2,8.0,38.0
Rex Roasting,Kenya AA Nyeri Wachuri,90,Indiana,Kenya,Medium,1.33,8,9,48,60,2,1.0,38.0
Coffee Factorial,Ethiopia Yirgacheffe Buna Ababa,94,California,Ethiopia,Medium-Light,1.88,9,9,57,76,1,8.0,38.0
Greater Goods Coffee Roasters,Life Saver Guatemala Organic Finca Santa Rita,92,Texas,Guatemala,Medium-Light,1.12,9,9,58,69,1,15.5,-90.25
Paradise Roasters,Espresso Classico,93,Minnesota,Brazil,Medium,1.08,9,8,47,60,2,-10.0,-55.0
Paradise Roasters,Ethiopia Suke Quto Organic,92,Minnesota,Ethiopia,Medium-Light,1.25,8,9,52,71,1,8.0,38.0
Flattop Coffee Roastery,Ethiopia Kela Kochore,91,Colorado,Ethiopia,Medium,1.42,8,9,48,64,2,8.0,38.0
Klatch Coffee,Ethiopia Hambela Natural,93,California,Ethiopia,Medium-Light,1.33,9,9,54,75,1,8.0,38.0
Caffe Luxxe,Decaf Classic House Blend,91,California,Brazil,Medium-Dark,1.33,9,9,37,54,3,-10.0,-55.0
Temple Coffee and Tea,Panama Don Pepe Fully Washed Geisha,96,California,Panama,Medium-Light,5.0,10,10,58,72,1,9.0,-80.0
Cafe Grumpy,Ethiopia Shakiso,92,New York,Ethiopia,Medium-Light,1.67,9,9,53,74,1,8.0,38.0
Old Soul Co.,Decaf Ethiopia Sidamo,93,California,Ethiopia,Medium,1.62,9,9,48,69,2,8.0,38.0
PT's Coffee Roasting Co.,Mexico Decaf,92,Kansas,Mexico,Medium,1.38,8,9,46,68,2,23.0,-102.0
Olympia Coffee Roasting,Decaf Asterisk Organic,89,Washington,Ethiopia,Medium,1.36,8,8,49,71,2,8.0,38.0
Lexington Coffee Roasters,Konga Ethiopia,93,Virginia,Ethiopia,Medium-Light,1.58,9,9,55,79,1,8.0,38.0
Kean Coffee,Ethiopia Ardi,93,California,Ethiopia,Medium,1.26,9,9,50,66,2,8.0,38.0
Lexington Coffee Roasters,Waykan Guatemala,91,Virginia,Guatemala,Medium-Light,1.16,9,9,55,77,1,15.5,-90.25
Chocolate Fish Coffee Roasters,Guji Ethiopia,91,California,Ethiopia,Light,1.46,8,8,67,92,0,8.0,38.0
JBC Coffee Roasters,Finca La Mula Panama Geisha,97,Wisconsin,Panama,Medium,7.49,10,10,52,66,2,9.0,-80.0
Caffe Luxxe,Ethiopia Yirgacheffe Oromia,90,California,Ethiopia,Medium-Dark,1.5,9,9,43,51,3,8.0,38.0
Paradise Roasters,S.O. Espresso Brazil Fazenda Santa Ines,94,Minnesota,Brazil,Medium,1.08,9,9,47,60,2,-10.0,-55.0
Bird Rock Coffee Roasters,Alemu Kochere Yirgacheffe,92,California,Ethiopia,Medium-Light,1.58,9,9,58,80,1,8.0,38.0
Paradise Roasters,Ethiopia Ardi,91,Minnesota,Ethiopia,Medium,1.41,9,9,51,64,2,8.0,38.0
Modern Times,Black House,94,California,Ethiopia,Medium-Light,1.17,9,9,55,69,1,8.0,38.0
Temple Coffee and Tea,Don Pepe’s Excellent Adventure,93,California,Panama,Light,1.54,9,9,61,82,0,9.0,-80.0
Paradise Roasters,Romance by Paradise,92,Minnesota,Ethiopia,Medium,1.16,9,9,48,59,2,8.0,38.0
Roast House,Ride the Edge,91,Washington,Ethiopia,Medium,0.88,8,9,53,67,2,8.0,38.0
Tony's Coffees and Teas,Homestead Blend,91,Washington,Ethiopia,Medium,1.33,8,9,52,67,2,8.0,38.0
Geisha Coffee Roaster,Naturals Special Blend,90,Florida,Ethiopia,Medium,1.19,8,8,47,67,2,8.0,38.0
Lexington Coffee Roasters,Huila Colombia,93,Virginia,Colombia,Light,1.15,9,9,63,85,0,4.0,-72.0
Lexington Coffee Roasters,Selian Tanzania,92,Virginia,Tanzania,Medium-Light,1.1,9,9,52,77,1,-6.0,35.0
Klatch Coffee,Kenya Gachatha AA,96,California,Kenya,Medium-Light,2.08,10,10,54,76,1,1.0,38.0
Victrola Coffee Roasters,Burundi Kayanza Province Mpanga Washing Station,94,Washington,Burundi,Medium-Light,1.75,9,9,54,74,1,-3.5,30.0
The WestBean Coffee Roasters,Ethiopian Yirgacheffe Kela Kochore,91,California,Ethiopia,Medium,1.5,8,9,50,67,2,8.0,38.0
Flight Coffee Co.,Ethiopia Yirgacheffe Dabub Matebya,94,New Hampshire,Ethiopia,Light,1.25,9,9,65,87,0,8.0,38.0
Dragonfly Coffee Roasters,Yemen Haraaz Red A+,94,Colorado,Yemen,Medium-Light,2.38,9,9,54,74,1,15.0,48.0
BeanFruit Coffee Co.,Guatemala Waykan,92,Mississippi,Guatemala,Medium-Light,1.23,9,9,56,76,1,15.5,-90.25
Bird Rock Coffee Roasters,El Salvador Finca Loma La Gloria,94,California,El Salvador,Light,1.58,9,9,78,99,0,13.83,-88.92
Shearwater Organic Coffee Roasters,Guatemala Finca Santa Isabel,92,Connecticut,Guatemala,Medium-Light,1.25,9,8,51,75,1,15.5,-90.25
Victrola Coffee Roasters,Ethiopia Sidama Ardi,95,Washington,Ethiopia,Medium-Light,1.58,9,9,57,78,1,8.0,38.0
Allegro Coffee Roasters,Kenya Karagoto,93,California,Kenya,Medium-Light,1.08,9,9,60,74,1,1.0,38.0
Blue Bottle Coffee,Rwanda Nyanza Kirezi,93,California,Rwanda,Light,1.38,9,9,66,88,0,-2.0,30.0
Victrola Coffee Roasters,Colombia Caldas Laderas del Tapias,93,Washington,Colombia,Medium-Light,1.38,9,9,57,68,1,4.0,-72.0
Starbucks Reserve Roastery,Brazil Sitio Baixadao,92,Washington,Brazil,Medium,5.0,9,9,48,55,2,-10.0,-55.0
Allegro Coffee Roasters,Organic Colombia AAA Microlot,91,California,Colombia,Medium-Light,1.08,8,9,58,65,1,4.0,-72.0
Blue Bottle Coffee,Burundi Kayanza Ninga,91,California,Burundi,Light,1.62,8,9,62,83,0,-3.5,30.0
Starbucks Reserve Roastery,Kenya Sangana,90,Washington,Kenya,Medium,2.73,9,8,48,54,2,1.0,38.0
Starbucks Reserve Roastery,100% Kona Coffee,87,Washington,Hawaii,Medium-Dark,3.92,8,8,39,46,3,19.8968,-155.5828
Starbucks Reserve Roastery,Brazil Sertãozinho,85,Washington,Brazil,Medium-Dark,1.65,7,7,41,45,3,-10.0,-55.0
Mystic Monk Coffee,Mexico Honey Huatusco,90,Wyoming,Mexico,Medium,1.17,8,8,50,69,2,23.0,-102.0
Seasons Coffee Roasters,Ethiopia Aricha,94,California,Ethiopia,Light,1.5,9,10,62,88,0,8.0,38.0
Cafe Grumpy,Mutwari Tanzania Peaberry,93,New York,Tanzania,Medium-Light,1.33,9,9,55,74,1,-6.0,35.0
Seasons Coffee Roasters,Colombia El Mango,93,California,Colombia,Light,1.31,9,9,64,90,0,4.0,-72.0
Cafe Grumpy,Burundi Shamba,93,New York,Burundi,Medium-Light,1.5,9,9,55,67,1,-3.5,30.0
Red Rooster Coffee Roaster,Milepost Colombia Finca La Arenosa,92,Virginia,Colombia,Light,1.42,9,9,65,85,0,4.0,-72.0
Red Rooster Coffee Roaster,FTO Congo Sopacdi Cooperative,92,Virginia,Congo,Light,1.12,9,9,62,88,0,-1.0,15.0
Wild Goose Coffee Roasters,Papua New Guinea Mile High,91,California,Guinea,Medium-Light,1.38,8,9,58,72,1,11.0,-10.0
Wild Goose Coffee Roasters,Rwanda Coproca,93,California,Rwanda,Medium-Light,1.54,9,9,55,72,1,-2.0,30.0
Temple Coffee and Tea,Costa Rica Sonora Bourbon Natural,94,California,Costa Rica,Light,1.58,9,9,68,92,0,10.0,-84.0
BeanFruit Coffee Co.,Ethiopia Kochere,93,Mississippi,Ethiopia,Light,1.23,9,9,62,84,0,8.0,38.0
Temple Coffee and Tea,Nicaragua La Florencia,93,California,Nicaragua,Light,1.42,9,9,68,91,0,13.0,-85.0
Temple Coffee and Tea,Panama Los Lajones,91,California,Panama,Light,1.67,8,9,64,89,0,9.0,-80.0
Wild Goose Coffee Roasters,Panama Lerida,92,California,Panama,Light,1.48,9,9,63,88,0,9.0,-80.0
Temple Coffee and Tea,Panama Finca Hartmann,95,California,Panama,Light,1.46,10,9,63,81,0,9.0,-80.0
Temple Coffee and Tea,Sumatra Ulos Batak,94,California,Sumatra,Medium-Light,1.5,9,9,54,70,1,-5.0,120.0
Temple Coffee and Tea,Guatemala La Esperanza,93,California,Guatemala,Light,1.38,9,9,66,85,0,15.5,-90.25
Temple Coffee and Tea,Guatemala El Diamante,93,California,Guatemala,Medium-Light,1.5,9,9,58,78,1,15.5,-90.25
Seattle Coffee Works,Seattle Space Blend,93,Washington,Colombia,Medium-Light,1.16,9,9,56,74,1,4.0,-72.0
Temple Coffee and Tea,Dharma Blend Espresso,92,California,Brazil,Medium-Light,1.29,8,8,54,69,1,-10.0,-55.0
Starbucks Reserve Roastery,Pantheon Blend No.1,92,Washington,Colombia,Medium-Dark,1.88,9,8,39,47,3,4.0,-72.0
Dragonfly Coffee Roasters,Division by Zero Espresso,92,Colorado,Brazil,Medium-Light,1.33,8,9,54,75,1,-10.0,-55.0
Tony's Coffees and Teas,Ganesha Espresso,92,Washington,Costa Rica,Medium,1.12,9,9,49,55,2,10.0,-84.0
Ritual Coffee Roasters,Wolf Moon Seasonal Espresso,92,California,Brazil,Medium-Light,1.35,9,8,55,70,1,-10.0,-55.0
Bonlife Coffee,Top Shelf Espresso,92,Tennessee,Colombia,Light,1.48,9,9,64,88,0,4.0,-72.0
Revel Coffee,Revelation Espresso,92,Montana,Brazil,Medium,1.06,9,9,52,65,2,-10.0,-55.0
OQ Coffee Co.,Monserrate Colombia,92,New Jersey,Colombia,Medium-Light,1.0,9,9,59,82,1,4.0,-72.0
OQ Coffee Co.,Buena Vista Farm Colombia,90,New Jersey,Colombia,Light,1.17,8,8,63,86,0,4.0,-72.0
Caffe Luxxe,Rwanda Dukunde Kawa Musasa,92,California,Rwanda,Medium,1.5,8,9,48,61,2,-2.0,30.0
Shearwater Organic Coffee Roasters,Organic Popayan Colombia,92,Connecticut,Colombia,Medium-Light,1.25,9,9,56,74,1,4.0,-72.0
Barrington Coffee Roasting Co.,Keremara AA Kenya,95,Massachusetts,Kenya,Medium-Light,1.54,9,9,60,79,1,1.0,38.0
Barrington Coffee Roasting Co.,Tchembe Gedeo Ethiopia,94,Massachusetts,Ethiopia,Medium-Light,2.58,9,9,58,72,1,8.0,38.0
Flight Coffee Co.,Ethiopia Yirgacheffe Gedeo,95,New Hampshire,Ethiopia,Light,1.21,9,9,64,94,0,8.0,38.0
Dragonfly Coffee Roasters,Finca La Aurora Camilina Geisha,95,Colorado,Panama,Light,6.06,9,9,62,88,0,9.0,-80.0
Flight Coffee Co.,Ethiopia Yirgacheffe Konga Zone Dry Process,93,New Hampshire,Ethiopia,Medium-Light,1.21,9,9,56,79,1,8.0,38.0
Dragonfly Coffee Roasters,Ethiopian Yirgacheffe Wenago Natural,93,Colorado,Ethiopia,Light,1.5,9,9,64,87,0,8.0,38.0
Papa Lin's Coffee Roasting,Sumatra Lake Toba Peaberry,94,New York,Sumatra,Medium,1.5,9,9,47,65,2,-5.0,120.0
Equator Coffees & Teas,Sumatra Ulos Batak,94,California,Sumatra,Medium-Light,1.44,9,9,56,70,1,-5.0,120.0
Victrola Coffee Roasters,Sumatra Aceh Adsenia Ketiara,93,Washington,Sumatra,Medium-Light,1.38,9,9,55,76,1,-5.0,120.0
PT's Coffee Roasting Co.,Sumatra KUD Silimakuta AAA,93,Kansas,Sumatra,Medium,1.5,9,9,52,68,2,-5.0,120.0
Bird Rock Coffee Roasters,Sumatra Ulos Batak,93,California,Sumatra,Medium-Light,1.75,8,9,55,77,1,-5.0,120.0
Compelling & Rich,Sumatra Gayo,93,California,Sumatra,Medium-Light,1.5,9,9,57,83,1,-5.0,120.0
Seattle Coffee Works,Sumatra Lintong Ulos Batak,93,Washington,Sumatra,Medium,1.44,10,9,51,63,2,-5.0,120.0
Topeca Coffee Roasters,Sumatra Lintong,92,Oklahoma,Sumatra,Light,1.17,9,9,61,83,0,-5.0,120.0
Geisha Coffee Roaster,Sumatra Organic Aceh Ketiara,92,Florida,Sumatra,Medium-Light,1.06,9,9,52,78,1,-5.0,120.0
PT's Coffee Roasting Co.,Colombia Granja La Esperanza Grand Cru Mokka,94,Kansas,Colombia,Light,2.29,9,9,65,86,0,4.0,-72.0
PT's Coffee Roasting Co.,Villa Loyola Colombia,91,Kansas,Colombia,Light,1.42,8,9,61,82,0,4.0,-72.0
Thanksgiving Coffee,Bolivia Canto de Bolivar,91,California,Bolivia,Light,1.29,8,9,60,82,0,-17.0,-65.0
Big Shoulders Coffee,Panama Esmeralda Geisha,96,Illinois,Panama,Medium-Light,4.6,9,10,57,83,1,9.0,-80.0
Topeca Coffee Roasters,Ethiopia Hambela Natural,93,Oklahoma,Ethiopia,Light,1.33,9,9,63,89,0,8.0,38.0
OQ Coffee Co.,Rum-Barrel Conditioned Ethiopia Gelena Abaya,94,New Jersey,Ethiopia,Light,1.5,9,9,65,85,0,8.0,38.0
Paradise Roasters,Peru Cajamarca,91,Minnesota,Peru,Medium,1.16,9,8,50,68,2,-10.0,-76.0
JBC Coffee Roasters,Finca La Mula Panama Geisha,96,Wisconsin,Panama,Medium-Light,6.16,9,10,57,81,1,9.0,-80.0
Red Rooster Coffee Roaster,Milepost Kenya Nyeri Ruarai,94,Virginia,Kenya,Medium-Light,1.5,9,9,58,81,1,1.0,38.0
Red Rooster Coffee Roaster,Ethiopia Worka Natural,92,Virginia,Ethiopia,Light,1.08,8,9,61,84,0,8.0,38.0
Chocolate Fish Coffee Roasters,Kenya Thiriku,95,California,Kenya,Medium-Light,1.46,9,9,56,77,1,1.0,38.0
BeanFruit Coffee Co.,Kenya Muiri Estate,93,Mississippi,Kenya,Medium-Light,1.17,8,9,55,69,1,1.0,38.0
Olympia Coffee Roasting,Ethiopia Biloya Organic,95,Washington,Ethiopia,Medium-Light,1.4,9,10,55,75,1,8.0,38.0
Wonderstate Coffee,Organic Ethiopian Worka Special Prep,94,Wisconsin,Ethiopia,Light,1.48,9,9,60,83,0,8.0,38.0
Drift Away Coffee,Burundi Buhorwa,93,New York,Burundi,Light,1.71,8,9,61,87,0,-3.5,30.0
Bootstrap Coffee Roasters,Papua New Guinea Ulya Wahgi Valley,93,Minnesota,Guinea,Medium-Light,1.33,9,8,58,78,1,11.0,-10.0
Courier Coffee,Dukorere Ikawa Cooperative Burundi,93,Oregon,Burundi,Medium-Light,1.12,9,9,56,71,1,-3.5,30.0
Water Avenue Coffee,Ethiopia Yirgacheffe Aricha,93,Oregon,Ethiopia,Light,1.5,9,9,65,91,0,8.0,38.0
Thanksgiving Coffee,Rwanda Musasa Fair Trade,92,California,Rwanda,Medium-Light,1.38,9,9,53,76,1,-2.0,30.0
Equator Coffees & Teas,Peru Cajamarca Fair Trade/Organic,92,California,Peru,Medium-Light,1.25,8,9,56,73,1,-10.0,-76.0
Topeca Coffee Roasters,Colombia Alto del Obispo,92,Oklahoma,Colombia,Medium-Light,1.17,8,9,57,76,1,4.0,-72.0
San Francisco Bay Coffee,Reserve 100% Panama Geisha,89,California,Panama,Dark,2.5,8,8,36,44,4,9.0,-80.0
Old Soul Co.,Rwanda Bufcafe Bourbon Lot,93,California,Rwanda,Medium-Light,1.62,8,9,54,73,1,-2.0,30.0
Turnstile Coffee Roasters,Kenya Gakui Peaberry,93,New Jersey,Kenya,Medium,1.54,9,9,51,65,2,1.0,38.0
Atomic Cafe Coffee Roasters,Rwanda Kinyaga Co-op,93,Massachusetts,Rwanda,Light,1.33,9,9,65,90,0,-2.0,30.0
Temple Coffee and Tea,Rwanda Kanzu Lot #13,93,California,Rwanda,Medium,1.46,9,9,52,66,2,-2.0,30.0
Dragonfly Coffee Roasters,Kenya Kianjuri AB,94,Colorado,Kenya,Medium,1.5,9,9,53,68,2,1.0,38.0
Victrola Coffee Roasters,Kenya Nyeri Tambaya Peaberry,94,Washington,Kenya,Medium,1.62,9,9,49,65,2,1.0,38.0
Dragonfly Coffee Roasters,Ethiopian Yirgacheffe Idido Natural,94,Colorado,Ethiopia,Medium-Light,1.5,9,8,58,83,1,8.0,38.0
Magnolia Coffee,Ethiopia Yirgacheffe Konga,92,North Carolina,Ethiopia,Medium-Light,1.08,9,9,60,78,1,8.0,38.0
Big Shoulders Coffee,Panama Los Lajones Natural,92,Illinois,Panama,Medium-Light,1.46,8,9,52,75,1,9.0,-80.0
Big Shoulders Coffee,Kenya AB Chania Estate Washed,91,Illinois,Kenya,Medium-Light,1.46,8,9,60,76,1,1.0,38.0
Paradise Roasters,Ethiopia Suke Quto Organic,95,Minnesota,Ethiopia,Medium,1.25,9,9,52,65,2,8.0,38.0
Paradise Roasters,S.O. Espresso Costa Rica Chayote,93,Minnesota,Costa Rica,Medium,1.25,8,9,49,57,2,10.0,-84.0
Bird Rock Coffee Roasters,Esmeralda Leon Natural Geisha,96,California,Panama,Light,5.62,10,10,71,89,0,9.0,-80.0
Cafe Virtuoso,"Shilcho Ethiopia, Red Cherry Initiative",94,California,Ethiopia,Medium,1.42,9,9,53,66,2,8.0,38.0
Flight Coffee Co.,Kenya AB Kiruga,93,New Hampshire,Kenya,Medium-Light,1.25,9,9,57,80,1,1.0,38.0
