Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,DollarsPerOz,Aroma,Flavor,Agtron Ext,Agtron Gnd,Roast_Level_num,Latitude,Longitude
RamsHead Coffee Roasters,Kenya Gakuyuini AA,94,Montana,Kenya,Medium-Light,1.41,9,9,58,76,1,1.0,38.0
Conscious Cup Coffee Roasters,Colombia Manos Juntas,92,Illinois,Colombia,Medium-Light,2.42,9,9,60,77,1,4.0,-72.0
Conscious Cup Coffee Roasters,Ethiopia Guji Goro Bedessa,93,Illinois,Ethiopia,Medium-Light,2.0,9,9,60,77,1,8.0,38.0
modcup coffee,Hacienda Esmeralda Ethiopian Accessions,95,New Jersey,Panama,Light,3.12,9,9,62,80,0,9.0,-80.0
Corvus Coffee Roasters,Gelena Geisha,94,Colorado,Ethiopia,Medium-Light,1.58,9,9,60,78,1,8.0,38.0
modcup coffee,Ethiopia Anaerobic Natural,94,New Jersey,Ethiopia,Medium-Light,3.12,9,9,59,77,1,8.0,38.0
Corvus Coffee Roasters,Silver Monk Seasonal Blend,92,Colorado,Ethiopia,Medium-Light,1.58,9,9,59,75,1,8.0,38.0
Folklore Coffee,Holiday Reserve Roast — Costa Rica Termico,92,Montana,Costa Rica,Medium-Light,2.08,9,9,58,74,1,10.0,-84.0
Paradise Roasters,Kona Tropical Punch Washed,94,Minnesota,Big Island,Medium-Light,6.25,9,9,60,76,1,19.8968,-155.5828
JBC Coffee Roasters,Gatomboya Kenya,93,Wisconsin,Kenya,Medium-Light,1.83,9,9,56,78,1,1.0,38.0
Old World Coffee Lab,Ethiopia Banko Gotiti Daniel Mijane,92,Nevada,Gedeb,Medium-Light,1.58,9,9,58,78,1,8.0,38.0
Paradise Roasters,Ka’u Bourbon Champagne Natural,94,Minnesota,Big Island,Medium-Light,7.5,9,9,58,76,1,19.8968,-155.5828
Old World Coffee Lab,Ethiopia Bedhatu Natural,93,Nevada,Gedeb,Medium-Light,1.71,9,9,54,72,1,8.0,38.0
Old World Coffee Lab,Ethiopia Bedhatu Washed,92,Nevada,Gedeb,Medium-Light,1.67,9,9,58,78,1,8.0,38.0
Old World Coffee Lab,Colombia Huila Palmera,88,Nevada,Colombia,Medium-Light,1.42,8,8,54,72,1,4.0,-72.0
JBC Coffee Roasters,Cerro Azul Geisha,95,Wisconsin,Colombia,Medium-Light,3.75,9,9,58,80,1,4.0,-72.0
Paradise Roasters,Panama Mama Cata Geisha Champagne Natural,95,Minnesota,Panama,Light,12.5,9,9,64,88,0,9.0,-80.0
Paradise Roasters,Ethiopia Yirgacheffe Worka Sakaro,95,Minnesota,Gedeb,Medium-Light,2.08,9,9,57,79,1,8.0,38.0
JBC Coffee Roasters,Haraaz Red,93,Wisconsin,Yemen,Medium-Light,2.5,9,9,56,74,1,15.0,48.0
Bird Rock Coffee Roasters,El Socorro Maracaturra,95,California,Guatemala,Medium-Light,2.17,9,9,60,74,1,15.5,-90.25
Jaunt Coffee Roasters,Guatemala Acatenango Gesha,94,California,Guatemala,Light,3.0,9,9,62,80,0,15.5,-90.25
Revel Coffee,Costa Rica Luis Campos Termico,93,Montana,Costa Rica,Medium-Light,2.17,9,9,58,78,1,10.0,-84.0
Collage Coffee,Ethiopia Nano Genji #5,93,Pennsylvania,Ethiopia,Medium-Light,1.6,9,9,60,78,1,8.0,38.0
States Coffee,Ethiopia Yirgacheffe Aramo,93,California,Ethiopia,Medium-Light,1.5,9,9,58,78,1,8.0,38.0
States Coffee,Kenya Nyeri Gatomboya,94,California,Kenya,Medium-Light,1.5,9,9,57,77,1,1.0,38.0
States Coffee,Subrosa Ethiopia Kayon Mountain Organic Natural,93,California,Ethiopia,Medium-Light,1.5,9,9,58,76,1,8.0,38.0
modcup coffee,Panama Hacienda La Esmeralda Gesha,94,New Jersey,Panama,Light,8.33,9,9,64,84,0,9.0,-80.0
Big Island Coffee Roasters,Natural Ka’u Maragogipe,94,Hawai,Big Island,Medium-Light,4.75,9,9,62,78,1,19.8968,-155.5828
PT’s Coffee Roasting Co.,Costa Rica Volcan Azul San Isidro Red Honey,95,Kansas,Costa Rica,Medium-Light,1.83,9,9,58,76,1,10.0,-84.0
Red Rooster Coffee Roaster,Ethiopia Demeka Becha,96,Virginia,Ethiopia,Medium-Light,1.83,9,10,60,78,1,8.0,38.0
Red Rooster Coffee Roaster,Sweet Holiday Blend,94,Virginia,Colombia,Medium-Light,1.75,9,9,58,76,1,4.0,-72.0
Willoughby's Coffee & Tea,Panama Abu Geisha Lot 6,95,Connecticut,Panama,Medium-Light,6.25,9,9,58,80,1,9.0,-80.0
Paradise Roasters,Philippines Sitio Belis,93,Minnesota,Philippines,Medium-Light,3.33,9,9,60,78,1,13.0,122.0
Jaunt Coffee Roasters,Ethiopia Bedessa,92,California,Ethiopia,Medium-Light,2.08,9,9,60,76,1,8.0,38.0
Hula Daddy Kona Coffee,Espresso,94,Hawai,Big Island,Medium-Light,7.87,9,9,56,80,1,19.8968,-155.5828
Mr. Espresso,Organic Ethiopia Shantawene Natural,92,California,Ethiopia,Medium-Light,1.42,8,9,56,78,1,8.0,38.0
Coffee By Design,Ethiopia Sidama Durato Bombe,91,Maine,Ethiopia,Medium-Light,1.16,8,9,59,77,1,8.0,38.0
Old Soul Co.,Ethiopia Lecho Torka,92,California,Ethiopia,Medium-Light,1.67,9,9,57,75,1,8.0,38.0
Mr. Espresso,Guatemala CODECH Women’s Lot,90,California,Guatemala,Medium-Light,1.25,8,8,54,74,1,15.5,-90.25
Coffee By Design,Ethiopia Yirgacheffe Worka Sakaro Anaerobic,90,Maine,Gedeb,Light,1.54,8,8,62,84,0,8.0,38.0
Hula Daddy Kona Coffee,Kona Mocca®,95,Hawai,Big Island,Medium-Light,11.24,9,9,57,78,1,19.8968,-155.5828
Hula Daddy Kona Coffee,Karen J Kona Red Bourbon,95,Hawai,Big Island,Medium-Light,6.24,9,9,56,78,1,19.8968,-155.5828
Cafe Kreyol,Ethiopian Sweet Lily,93,Virginia,Ethiopia,Medium-Light,1.33,9,9,56,72,1,8.0,38.0
Temple Coffee Roasters,Kenya Gachatha Nyeri,93,California,Kenya,Medium-Light,1.96,9,9,58,76,1,1.0,38.0
Cafe Kreyol,Bolivia Apolo Latin America Microlot,90,Virginia,Bolivia,Medium-Light,1.33,8,8,50,77,1,-17.0,-65.0
Temple Coffee Roasters,Ethiopia Gora Kone Sidamo,92,California,Ethiopia,Medium-Light,1.67,9,9,57,79,1,8.0,38.0
Cafe Kreyol,Organic 18 Rabbits Honduras,91,Virginia,Honduras,Medium-Light,1.08,8,9,58,74,1,15.0,-86.5
Peach Coffee Roasters,Colombia La Estrella Carbonic Maceration,93,Georgia,Colombia,Medium-Light,2.33,9,9,52,70,1,4.0,-72.0
King's Gambit Coffee,Costa Rica Salazar Black Honey,88,New Jersey,Costa Rica,Medium-Light,1.75,8,8,58,76,1,10.0,-84.0
Hula Daddy Kona Coffee,Holiday Coffee,96,Hawai,Big Island,Medium-Light,6.24,9,10,58,80,1,19.8968,-155.5828
Paradise Roasters,Mama Cata Mokkita,97,Minnesota,Panama,Medium-Light,37.5,10,10,57,79,1,9.0,-80.0
Genesis Coffee Lab,Ethiopia Tamiru Tadesse Anaerobic,96,Alaska,Ethiopia,Light,36.25,9,10,62,80,0,8.0,38.0
Hula Daddy Kona Coffee,Laura’s Reserve SL34,96,Hawai,Big Island,Medium-Light,7.87,9,10,60,78,1,19.8968,-155.5828
Genesis Coffee Lab,Ethiopia Tamiru Tadesse Natural,95,Alaska,Ethiopia,Light,6.62,9,9,64,80,0,8.0,38.0
Paradise Roasters,Puna Arakawa Estate Lactic Natural,95,Minnesota,Big Island,Medium-Light,7.5,9,9,60,78,1,19.8968,-155.5828
Hula Daddy Kona Coffee,100% Kona Bourbon Pointu Laurina,95,Hawai,Big Island,Medium-Light,7.87,9,9,56,78,1,19.8968,-155.5828
Jaunt Coffee Roasters,Colombia Planadas Tolima,93,California,Colombia,Light,1.92,9,9,63,83,0,4.0,-72.0
Durango Coffee Company,Colombia Java El Eden,94,Colorado,Colombia,Medium-Light,1.66,9,9,58,78,1,4.0,-72.0
Nostalgia Coffee Roasters,Ethiopia Shantawene Natural,95,California,Ethiopia,Medium-Light,1.83,9,9,60,76,1,8.0,38.0
Jaunt Coffee Roasters,Ethiopia Buno Dambi Uddo,94,California,Ethiopia,Light,2.08,9,9,65,83,0,8.0,38.0
Magnolia Coffee,Magnolia Blend Espresso,93,North Carolina,Costa Rica,Medium-Light,1.33,9,9,52,72,1,10.0,-84.0
Red Rock Roasters,Ethiopia Worka Sakaro Anaerobic Natural,94,New Mexico,Gedeb,Medium,1.33,9,9,56,64,2,8.0,38.0
Oceana Coffee,Ethiopia Durato Bombe Natural,94,Florida,Ethiopia,Light,1.83,9,9,64,80,0,8.0,38.0
Nostalgia Coffee Roasters,Colombia Trujillo Experimental Process,94,California,Colombia,Medium-Light,2.08,9,9,57,77,1,4.0,-72.0
Bird Rock Coffee Roasters,Colombia La Siria Geisha,96,California,Argentina,Medium-Light,23.75,9,10,60,78,1,-34.0,-64.0
PT's Coffee Roasting Co.,Colombia Granja La Esperanza Las Margaritas Gesha Honey,95,Kansas,Colombia,Light,7.5,9,9,62,80,0,4.0,-72.0
Chromatic Coffee,Tanzania Acacia Hills Gesha Peaberry,95,California,Tanzania,Medium-Light,20.0,9,9,62,78,1,-6.0,35.0
Equator Coffees,Colombia La Palma Y El Tucán Gesha Natural,94,California,Colombia,Medium-Light,10.0,9,9,56,72,1,4.0,-72.0
Willoughby's Coffee & Tea,Costa Rica La Rejolla Washed Geisha,94,Connecticut,Costa Rica,Medium-Light,3.12,9,9,58,80,1,10.0,-84.0
JBC Coffee Roasters,Bekele Heto Natural Ethiopia,95,Wisconsin,Gedeb,Medium-Light,1.58,9,9,58,80,1,8.0,38.0
Bird Rock Coffee Roasters,El Salvador El Matazano Pacamara,95,California,El Salvador,Medium-Light,1.75,9,9,60,77,1,13.83,-88.92
