Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
JBC Coffee Roasters,El Aguila SL28 El Salvador,93,"Madison, Wisconsin","Santa Ana region, El Salvador",Medium-Light,57/80,$19.50/12 ounces,November2018,8,9,9,9,8,,
Bird Rock Coffee Roasters,Nano Challa,93,"San Diego, California","Jimma Zone, Oromia State, Ethiopia",Medium-Light,54/78,#23.00/12 ounces,November2018,9,8,9,9,8,,
Temple Coffee and Tea,Costa Rica Volcán Azúl Single-Origin Espresso,92,"Sacramento, California","Poás Volcano region, central Costa Rica",Medium,48/57,$21.50/12 ounces,November2018,9,,8,9,8,8,
Hula Daddy Kona Coffee,Kona Mocca®,96,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium,46/64,$44.95/8 ounces,November2018,9,9,9,10,9,,
Lexington Coffee Roasters,Kibugu Kenya,95,"Lexington, Virginia","Embu County, Eastern Province, Kenya",Medium-Light,54/74,$19.95/12 ounces,November2018,9,9,9,9,9,,
Branch Street Coffee Roasters,Kenya Gikirima Kibugu,94,"Youngstown, Ohio","Embu County, Eastern Province, Kenya",Medium-Light,56/74,$16.25/10 ounces,November2018,9,9,9,9,8,,
Lexington Coffee Roasters,Quejina Guatemala,90,"Lexington, Virginia","Huehuetenango growing region, Guatemala",Medium-Light,53/77,$17.00/12 ounces,November2018,8,8,8,8,8,,
Mystic Monk Coffee,Christmas Blend,90,"Clark, Wyoming","Ethiopia, Burundi",Medium,47/65,$14.99/12 ounces,November2018,8,8,8,8,8,,
Mystic Monk Coffee,Thanksgiving Blend,90,"Clark, Wyoming",Africa; Indonesia; South America,Medium,42/62,$13.99/12 ounces,November2018,8,8,8,8,8,,
Dragonfly Coffee Roasters,Elida Estate Geisha Natural Dragonfly Reserve,95,"Boulder, Colorado","Boquete growing region, western Panama",Medium-Light,54/78,$70.00/8 ounces,November2018,9,9,9,9,9,,
Dragonfly Coffee Roasters,Costa Rica Geisha Honey COE 2018 2nd Place,94,"Boulder, Colorado","Tarrazu growing region, Costa Rica",Medium-Light,50/76,$45.00/8 ounces,November2018,9,9,9,9,8,,
Bird Rock Coffee Roasters,La Providencia Guatemala Maragogype,94,"San Diego, California","Huehuetenango growing region, Guatemala",Medium-Light,56/78,$21.00/12 ounces,November2018,9,8,9,9,9,,
Augie's Coffee Roasters,Finca Insul Guatemala Pacamara,93,"Redlands, California","Huehuetenango growing region, Guatemala",Medium-Light,55/75,$18.00/12 ounces,November2018,9,9,8,9,8,,
Barrington Coffee Roasting,Cuxinales Guatemala,93,"Lee, Massachusetts","Antigua growing region, Guatemala",Medium-Light,56/78,$18.95/12 ounces,November2018,9,8,9,9,8,,
Hale Coffee Company,Nicaragua La Benedicion Pacamara,93,"Toronto, Ontario, Canada","La Providencia, Jalapa, Nicaragua",Medium-Light,54/78,CAD $15.00/200 grams,November2018,9,8,9,9,8,,
Red Rooster Coffee Roaster,El Salvador Finca El Cerro Pacamara Black Honey,93,"Floyd, Virginia",El Salvador,Medium-Light,57/77,$19.99/12 ounces,November2018,9,8,9,9,8,,
Equator Coffees,El Salvador Finca Himalaya Pacamara,92,"San Rafael, California","Apaneca, Ahuachapán Department, El Salvador",Medium-Light,52/74,$19.50/12 ounces,November2018,9,8,8,9,8,,
Vienna Coffee Company,Foxfire Espresso,92,"Maryville, Tennessee",Brazil; Ethiopia,Medium,46/68,$15.00/12 ounces,November2018,8,,8,9,8,9,
Durango Coffee Company,Ethiopia Misti Valley,93,"Durango, Colorado","Yirgacheffe growing region, southern Ethiopia",Medium,50/70,$16.95/12 ounces,November2018,9,9,8,9,8,,
North Coast Coffee Roasting,Ethiopia Guji,90,"Santa Cruz, California","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,52/74,$13.50/10 ounces,November2018,8,8,8,8,8,,
Klatch Coffee,Kenya Kabingara,94,"Los Angeles, California","Kirinyaga District, south-central Kenya",Medium-Light,58/80,$19.95/12 ounces,November2018,9,9,8,9,9,,
Grounds for Change,Guatemala Huehuetenango,92,"Poulsbo, Washington","Huehuetenango growing region, Guatemala",Medium,43/63,$12.25/12 ounces,November2018,9,8,8,9,8,,
Steady State Roasting Company,Adanech Ethiopia Guji,91,"Carlsbad, California","Guji Zone, Oromia Region, southern Ethiopia",Light,58/84,$18.00/12 ounces,November2018,8,8,8,9,8,,
Steady State Roasting Company,El Salvador Loma La Gloria Black Honey,91,"Carlsbad, California","El Boquerón growing region, El Salvador",Medium-Light,52/74,$17.50/12 ounces,November2018,8,8,8,9,8,,
Bluekoff Company,Thai Single-Origin Espresso Blend (A4+A4.5+A5),91,"Bangkok, Thailand","Chiang Rai Province, northern Thailand",Medium,46/66,$6.00/250 grams,November2018,8,,8,8,8,9,
Bluekoff Company,Thai Single-Origin Natural-Process Espresso,90,"Bangkok, Thailand","Chiang Rai Province, northern Thailand",Medium,46/68,$6.00/250 grams,November2018,8,,8,8,8,8,
Branch Street Coffee Roasters,Kenya Konyu,95,"Youngstown, Ohio","Kirinyaga District, south-central Kenya",Medium-Light,57/81,$16.25/10 ounces,October2018,9,9,9,9,9,,
Magnolia Coffee,Guatemala Finca San Gerardo,92,"Charlotte, North Carolina","Lake Amatitlán area, south-central Guatemala",Medium-Light,52/72,$15.00/12 ounces,October2018,9,8,8,9,8,,
Dragonfly Coffee Roasters,Hacienda La Esmeralda Cabana Geisha Natural,95,"Boulder, Colorado","Boquete growing region, western Panama",Medium-Light,57/83,$75.00/8 ounces,October2018,9,9,9,9,9,,
Dragonfly Coffee Roasters,Finca La Aurora Camilina Geisha,96,"Boulder, Colorado","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,56/76,$45.00/8 ounces,October2018,9,9,9,10,9,,
Barrington Coffee Roasting,Twenty Five,96,"Lee, Massachusetts",Ethiopia; Papua New Guinea; Guatemala,Medium-Light,50/74,$14.45/12 ounces,October2018,9,,9,9,9,10,
Gorilla Conservation Coffee,Kanyonyi Coffee Blend,92,"Entebbe, Uganda","Buhoma, southwest Uganda",Medium,47/69,$17.95/16 ounces,October2018,9,8,8,9,8,,
Oceana Coffee,Costa Rica Microlot Series San Cristobal Natural,92,"Tequesta, Florida","Llano Bonito, Naranjo, Costa Rica",Medium-Light,54/75,$22.00/12 ounces,October2018,9,8,8,9,8,,
Barrington Coffee Roasting,La Union (Colombia),91,"Lee, Massachusetts","Narino Department, southern Colombia",Medium-Light,58/80,$15.45/12 ounces,October2018,8,8,8,9,8,,
Temple Coffee and Tea,Colombia Luis Alberto Montoya Antioquia,92,"Sacramento, California","Antioquia, Colombia",Medium-Light,51/73,$18.50/12 ounces,October2018,9,8,8,9,8,,
Temple Coffee and Tea,Guatemala Octavio Lopez,92,"Sacramento, California","Huehuetenango growing region, Guatemala",Medium-Light,52/72,$17.50/12 ounces,October2018,,,,,,,
JBC Coffee Roasters,Karimikui Kenya,94,"Madison, Wisconsin","Kirinyaga District, south-central Kenya",Medium-Light,55/75,$19.50/12 ounces,October2018,9,9,9,9,8,,
Temple Coffee and Tea,Kenya Baragwi Thimu Peaberry,94,"Sacramento, California","Kirinyaga District, south-central Kenya",Medium-Light,52/74,$19.50/12 ounces,October2018,9,9,9,9,8,,
JBC Coffee Roasters,Kariru Kenya,94,"Madison, Wisconsin",South-central Kenya,Medium-Light,56/75,$19.50/12 ounces,October2018,9,9,9,9,8,,
Dragonfly Coffee Roasters,Esmeralda Estate Porton Geisha Natural,96,"Boulder, Colorado","Boquete growing region, western Panama",Medium-Light,56/84,$75.00/8 ounces,October2018,9,9,9,10,9,,
Revel Coffee,Kenya Kiambu,94,"Billings, Montana","Kiambu County, south-central Kenya",Medium-Light,53/81,$16.75/12 ounces,October2018,9,9,9,9,8,,
Big Creek Coffee Roasters,Kenya Gatuya,93,"Hamilton, Montana",South-central Kenya,Medium,50/70,$17.00/12 ounces,October2018,9,9,8,9,8,,
Caffeic,Ethiopia,93,"Helena, Montana","Bench-Maji Zone, southern Ethiopia",Medium-Light,56/82,$13.50/12 ounces,October2018,9,9,8,9,8,,
Evans Brothers Coffee Roasters,Kenya Gatuyaini,93,"Sandpoint, Idaho",South-central Kenya,Medium-Light,51/79,$16.50/12 ounces,October2018,9,8,9,9,8,,
Mystic Monk Coffee,Kenya AA Top Lot,93,"Clark, Wyoming",South-central Kenya,Medium,46/74,$11.95/12 ounces,October2018,9,8,9,9,8,,
Sweet Bloom Coffee Roasters,Kenya Kainamui,93,"Denver, Colorado",South-central Kenya,Medium-Light,50/80,$20.00/12 ounces,October2018,9,9,8,9,8,,
Corvus Coffee Roasters,Kenya Kariru PB,92,"Denver, Colorado",South-central Kenya,Light,56/88,$21.00/12 ounces,October2018,9,8,8,9,8,,
Desert Sun Coffee Roasters,Organic Ethiopia Sidama Natural,92,"Durango, Colorado","Sidama (also Sidamo) growing region, south-central Ethiopia",Medium-Light,51/73,$16.00/12 ounces,October2018,9,8,8,9,8,,
Durango Coffee Company,Kenya Mwiria,92,"Durango, Colorado",South-central Kenya,Medium-Light,50/74,$16.95/12 ounces,October2018,9,8,8,9,8,,
Jackrabbit Java,Colombia Narino Excelsio,92,"Thermopolis, Wyoming","Narino Department, southern Colombia",Medium-Light,53/77,$12.00/12 ounces,October2018,9,8,8,9,8,,
Jebena Coffees,Ethiopia Sidama Sasaba Natural,93,"Dubai, United Arab Emirates","Sidama (also Sidamo) growing region, south-central Ethiopia",Medium-Light,55/79,AED $103.95/250 grams,October2018,9,8,9,9,8,,
Big Creek Coffee Roasters,Kenya AA Kirinyaga,93,"Hamilton, Montana",South-central Kenya,Medium-Light,56/80,$17.00/12 ounces,October2018,9,9,8,9,8,,
Big Shoulders Coffee,Ethiopia Limu,93,"Chicago, Illinois","Limu Woreda, Oromia region, southwest Ethiopia",Medium-Light,54/84,$18.00/12 ounces,October2018,9,9,8,9,8,,
